mean_CRS,mean_R_final,pct_reduction_vs_classical,pct_diff_vs_ufmb,mean_ldf_active,disc_correction_pct,ampl_correction_pct,n_neutral,n_disc,n_ampl
16.6065,17.15075,53.25704435276444,-7.592941810344829,1.0857249999999998,-11.866094611265463,29.02432813391933,52,14,14
20.244999999999997,20.912625,61.58406793126965,12.675781249999998,1.06180625,-9.865202067255797,22.22266533062754,48,16,16
19.10275,19.856125,50.33811561897199,6.983432112068966,1.1029699999999998,-7.8902542275832355,24.175976819647154,50,13,17
19.645249999999997,20.117124999999998,55.13538527585813,8.389682112068963,1.0467482758620688,-12.0642039098064,20.310284209084124,51,14,15
22.691625,22.999125,50.041271823834485,23.91769935344828,1.0270521739130434,-13.154907446675578,23.356663502955776,57,13,10
20.0765,20.355874999999997,58.99248328569811,9.676050646551717,1.0211666666666666,-11.441843624236292,24.14768276726938,59,13,8
17.160125,17.530625000000004,48.64739181697679,-5.546201508620661,1.0589434782608695,-12.712221211499097,22.973905481697457,57,11,12
24.479499999999998,24.75025,53.61386509736303,33.35264008620691,1.05,-9.985863750113761,26.031734534816717,56,14,10
17.893874999999998,17.96875,56.02550062099642,-3.185614224137925,0.9593689655172415,-13.558300166299857,20.83335890158441,51,21,8
16.837875,17.189625,58.99959451884891,-7.383485991379307,1.0399999999999996,-6.852108861789386,20.251947863682425,60,12,8
20.257624999999997,20.69275,51.61033843707432,11.491109913793112,1.040733333333333,-12.555812607324938,25.84517267223035,50,17,13
16.72825,17.03775,59.77417203298292,-8.201778017241377,1.0013424242424243,-10.154004597774332,23.808667844777855,47,23,10
16.467750000000002,16.804250000000003,58.60767288626146,-9.45985991379308,1.0214586206896552,-12.528550527446361,22.958891498910486,51,17,12
19.61375,19.969749999999998,56.29486562199073,7.595635775862064,1.0502074074074075,-12.984130509169855,24.488206217063297,53,14,13
16.414749999999998,17.022875,50.60267185125269,-8.28192349137931,1.0673838709677417,-10.368858714650491,22.788669805014017,49,15,16
